threshold,precision,recall,f1
0.05,0.1116584564860427,0.9999119485779695,0.20088448611356802
0.06,0.11168156737776991,0.9998238971559391,0.20092010970538796
0.07,0.11171018713473307,0.9997358457339086,0.2009646444532944
0.08,0.11174426958772525,0.9997358457339086,0.201019793916646
0.09,0.11176957001102536,0.9997358457339086,0.2010607308240586
0.09999999999999999,0.11177733144297416,0.9996477943118781,0.2010715076378127
0.10999999999999999,0.11178839771932761,0.9995597428898477,0.201087630418224
0.12,0.11181372259322735,0.9995597428898477,0.20112860218101927
0.13,0.111828105296343,0.9994716914678172,0.20115008727549819
0.13999999999999999,0.11184793961728712,0.9994716914678172,0.201182173462244
0.14999999999999997,0.11185034053835616,0.9992075372017258,0.20118070452248835
0.15999999999999998,0.11188790502297513,0.9991194857796953,0.2012396804142909
0.16999999999999998,0.11193661693898492,0.9989433829356344,0.20131489055887286
0.18,0.11199415545310047,0.998855331513604,0.20140615013138272
0.19,0.11210833250963724,0.9986792286695431,0.20158717463364348
0.19999999999999996,0.11223641223641223,0.9982389715593907,0.20178522163980528
0.20999999999999996,0.11239333201031951,0.997358457339086,0.20202074248463933
0.21999999999999997,0.11261409218947516,0.99621378885269,0.20235369866933753
0.22999999999999998,0.1128903362435818,0.9950691203662939,0.20277580901285627
0.24,0.11321209201493436,0.9932200405036541,0.2032560611930482
0.24999999999999994,0.1135705273782488,0.9907546006868011,0.20378151260504201
0.25999999999999995,0.1141811155743123,0.9886413665580699,0.20471866681252962
0.26999999999999996,0.11482576037433813,0.9852954125209122,0.20568151531582865
0.27999999999999997,0.11558200537060269,0.9815972527956327,0.20681211041852182
0.29,0.11647724291366265,0.9772827331161398,0.2081465783995649
0.3,0.1173503054556291,0.9708549793079159,0.20939087499406542
0.30999999999999994,0.1183927082995053,0.9630184027472044,0.21086218863268297
0.31999999999999995,0.11967601520744944,0.9562384432508585,0.21272844802256566
0.32999999999999996,0.12088023412877083,0.9455842211851722,0.21435771530085732
0.33999999999999997,0.12242473180297613,0.9344897420093334,0.21648801085193836
0.3499999999999999,0.12388195851251614,0.9207537201725808,0.2183819229805363
0.35999999999999993,0.12584428567945186,0.908866778198468,0.22107754420158707
0.36999999999999994,0.12798578915541223,0.894514396407502,0.2239317558110059
0.37999999999999995,0.12997437640537574,0.8754072378268909,0.22634292934467096
0.38999999999999996,0.13240119263182257,0.8563000792462798,0.2293415715498538
0.3999999999999999,0.13468157123759136,0.8338469666285111,0.23190606212731568
0.4099999999999999,0.1374303008617348,0.8116580082768337,0.23506011653555353
0.41999999999999993,0.1403693351339468,0.7870916615303337,0.23824944362264955
0.42999999999999994,0.14324817518248176,0.7603240292330721,0.24107653866018958
0.43999999999999995,0.14618599424035963,0.7330280884036278,0.2437596076421931
0.4499999999999999,0.14944076609434032,0.7035308620234216,0.2465174397976027
0.4599999999999999,0.1531349840255591,0.6752663555516422,0.249654117225776
0.4699999999999999,0.15701366172791995,0.6466496433917408,0.25267503870634783
0.4799999999999999,0.16072084481175392,0.616448005635291,0.25496658593878035
0.48999999999999994,0.164937990444835,0.5866866249889936,0.25748734397341266
0.49999999999999994,0.1687008190139714,0.5549881130580259,0.2587491533077444
0.5099999999999999,0.17269670087551459,0.5245223210354847,0.25984166103247475
0.5199999999999999,0.17687203791469194,0.4929118605265475,0.2603297137675262
0.5299999999999999,0.1814445096887845,0.4625341199260368,0.2606430485263471
0.5399999999999999,0.18594292616638985,0.43374130492207447,0.26029749795238977
0.5499999999999999,0.19106514994829368,0.4067095183587215,0.25999099403354725
0.5599999999999999,0.1962294933381673,0.3812626573919169,0.2591030128953116
0.57,0.20114228954556743,0.35660825922338646,0.25720817985520134
0.58,0.20615300843996734,0.33336268380734346,0.25476078325819257
0.59,0.21247516406767417,0.3107334683455138,0.2523778874347422
0.6,0.21732492532359773,0.288280355727745,0.24782378321096057
0.61,0.2234073856112991,0.2674121687065246,0.2434371367881047
0.62,0.22952411783748786,0.249713832878401,0.239193691224223
0.63,0.23312113332735587,0.22893369727921106,0.2310084406930253
0.6399999999999999,0.2385239414325287,0.21229197851545303,0.22464477055672025
0.6499999999999999,0.24508835473603335,0.1966188253940301,0.21819425444596444
0.6599999999999999,0.25057948029766985,0.18085762085057674,0.2100848931164979
0.6699999999999999,0.25684698187764,0.165976930527428,0.20164741121095422
0.6799999999999999,0.2625511906567572,0.15241701153473627,0.1928690807799443
0.69,0.2712268164029267,0.14035396671656247,0.18498317279795753
0.7,0.27493824814744444,0.127410407678084,0.17412755716004813
0.71,0.28382978723404256,0.11746059698864136,0.16615806190446533
0.72,0.2908790170132325,0.1083913005195034,0.15793187504009237
0.73,0.3007915567282322,0.100378621114731,0.15052485640720936
0.74,0.3091501332543678,0.09192568459980628,0.14171304465861273
0.7499999999999999,0.32155948017327557,0.08496962225939948,0.1344198356317036
0.7599999999999999,0.33509633547412165,0.07810161134102316,0.1266780919737218
0.7699999999999999,0.3440405748098056,0.07167385753279916,0.11863295197843038
0.7799999999999999,0.3472684085510689,0.06436558950427049,0.10860199078888724
0.7899999999999999,0.35875402792696026,0.05881834991635115,0.10106664649368334
0.7999999999999999,0.3670115642118077,0.05309500748437087,0.09276923076923077
0.8099999999999999,0.3755186721991701,0.04781192216254292,0.08482386940560806
0.82,0.38076622361219703,0.042881042528836844,0.07708135485913263
0.83,0.39412811387900354,0.03900677995949635,0.07098790161044788
0.84,0.39274924471299094,0.03434005459188166,0.06315789473684211
0.8499999999999999,0.4102272727272727,0.03178656335299815,0.05900138922938629
0.8599999999999999,0.41709183673469385,0.028792815003962312,0.05386706202125031
0.8699999999999999,0.4189189189189189,0.024566346746499955,0.04641104549613241
0.8799999999999999,0.4241379310344828,0.021660649819494584,0.04121638602663986
0.8899999999999999,0.44246031746031744,0.01963546711279387,0.03760222578197454
0.8999999999999999,0.4776470588235294,0.017874438672184557,0.0344593447631981
0.9099999999999999,0.4904109589041096,0.015761204543453377,0.030540863333902064
0.9199999999999999,0.515358361774744,0.013295764726600335,0.02592274678111588
0.9299999999999999,0.5063291139240507,0.010566170643655896,0.020700362256339484
0.94,0.5130890052356021,0.008629039358985648,0.016972635954277795
0.95,0.5177304964539007,0.006427753808224003,0.012697860497477823
